,timestamp,coordinates,altitude,data_type,speed,motion,battery_level,battery_state,accuracy,wifi
0,2019-07-12T22:30:16Z,"4.361490990367052,52.01030633416696",-3,Point,-1,stationary,1,charging,"65,10",VlinderGR
1,2019-07-12T22:30:25Z,"4.361490990367052,52.01030633416696",-3,Point,-1,stationary,1,charging,"65,10",VlinderGR
2,2019-07-12T22:31:48Z,"4.361567077995265,52.01032545687499",-3,Point,-1,,1,charging,"65,10",VlinderGR
3,2019-07-12T22:32:01Z,"4.3616339134364095,52.010303229449676",-3,Point,-1,stationary,1,charging,"65,10",VlinderGR
4,2019-07-12T22:32:24Z,"4.361498431214425,52.01031123228177",-3,Point,-1,,1,charging,"65,10",VlinderGR
5,2019-07-12T22:32:28Z,"4.361482667868295,52.01031243303916",-3,Point,-1,,1,charging,"65,10",VlinderGR
6,2019-07-12T22:32:30Z,"4.36145661043948,52.01030956426675",-3,Point,-1,,1,charging,"65,10",VlinderGR
7,2019-07-12T22:32:32Z,"4.361506300051102,52.010299726437786",-4,Point,-1,stationary,1,charging,"50,64",VlinderGR
8,2019-07-12T22:32:33Z,"4.361506300051102,52.010299726437786",0,Point,0,stationary,1,charging,"30,4",VlinderGR
9,2019-07-12T22:32:38Z,"4.361506300051102,52.010299726437786",0,Point,0,stationary,1,charging,"10,4",VlinderGR
10,2019-07-12T22:33:10Z,"4.361541504044422,52.01031246693061",0,Point,0,,1,charging,"30,4",VlinderGR
11,2019-07-12T22:33:11Z,"4.36156924814392,52.010315232958654",0,Point,0,stationary,1,charging,"10,4",VlinderGR
12,2019-07-12T22:33:12Z,"4.3616058770607795,52.01031862762944",0,Point,0,stationary,1,charging,"10,4",VlinderGR
13,2019-07-12T22:33:13Z,"4.3616229761432495,52.01032030401007",0,Point,0,,1,charging,"10,4",VlinderGR
14,2019-07-12T22:33:28Z,"4.361560195688495,52.010325123604396",1,Point,0,,1,charging,"10,4",VlinderGR
15,2019-07-12T22:33:30Z,"4.361539995301851,52.01032688380406",1,Point,0,,1,charging,"10,4",VlinderGR
16,2019-07-12T22:33:32Z,"4.361539995301851,52.01032688380406",,Point,,None,,,"None,None",VlinderGR
17,2019-07-12T22:33:38Z,"4.361520633105525,52.01030567758904",3,Point,0,stationary,1,charging,"10,4",VlinderGR
18,2019-07-12T22:36:35Z,"4.361500935633072,52.01027600565181",1,Point,0,walking,1,charging,"30,4",VlinderGR
19,2019-07-12T22:36:41Z,"4.361509820450434,52.01026590545849",1,Point,0,walking,1,charging,"50,4",VlinderGR
20,2019-07-12T22:36:45Z,"4.361506802965292,52.010254422251144",1,Point,1,walking,1,charging,"100,4",VlinderGR
21,2019-07-12T22:36:47Z,"4.361493311072997,52.010243552731815",1,Point,1,walking,1,charging,"200,10",VlinderGR
22,2019-07-12T22:36:49Z,"4.3614813605703935,52.0102359964489",1,Point,0,walking,1,charging,"200,10",VlinderGR
23,2019-07-12T22:36:52Z,"4.361470812158809,52.010221959459784",1,Point,0,walking,1,charging,"200,10",VlinderGR
24,2019-07-12T22:36:53Z,"4.361460581168747,52.01021305822838",1,Point,1,walking,1,charging,"200,10",VlinderGR
